County,geographic_unit_full_name,IPC,Month,in_Phase3+
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1.0,2014-07,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1.0,2014-10,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1.0,2015-01,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1.0,2015-04,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1.0,2015-07,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1.0,2015-10,0
Nyeri,"Aberdare Forest, Nyeri, Central, Kenya",1.0,2016-02,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2011-07,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2011-10,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2012-01,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2012-04,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2012-07,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2012-10,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2013-01,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2013-04,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2013-07,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2013-10,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2014-01,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2014-04,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2014-07,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2014-10,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2015-01,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2015-04,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2015-07,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2015-10,0
Meru Central,"Abogeta, Meru Central, Eastern, Kenya",1.0,2016-02,0
Meru Central,"Abothuguchi Central, Meru Central, Eastern, Kenya",1.0,2011-07,0
Meru Central,"Abothuguchi Central, Meru Central, Eastern, Kenya",1.0,2011-10,0
Meru Central,"Abothuguchi Central, Meru Central, Eastern, Kenya",1.0,2012-01,0
Meru Central,"Abothuguchi Central, Meru Central, Eastern, Kenya",1.0,2012-04,0
Meru Central,"Abothuguchi Central, Meru Central, Eastern, Kenya",1.0,2012-07,0
